time_s,shoulder_pan.pos,shoulder_lift.pos,elbow_flex.pos,wrist_flex.pos,wrist_roll.pos,gripper.pos,eflesh_on_motor.m0.bx,eflesh_on_motor.m0.by,eflesh_on_motor.m0.bz,eflesh_on_motor.m1.bx,eflesh_on_motor.m1.by,eflesh_on_motor.m1.bz,eflesh_on_motor.m2.bx,eflesh_on_motor.m2.by,eflesh_on_motor.m2.bz,eflesh_on_motor.m3.bx,eflesh_on_motor.m3.by,eflesh_on_motor.m3.bz,eflesh_on_motor.m4.bx,eflesh_on_motor.m4.by,eflesh_on_motor.m4.bz,eflesh_not_motor.m0.bx,eflesh_not_motor.m0.by,eflesh_not_motor.m0.bz,eflesh_not_motor.m1.bx,eflesh_not_motor.m1.by,eflesh_not_motor.m1.bz,eflesh_not_motor.m2.bx,eflesh_not_motor.m2.by,eflesh_not_motor.m2.bz,eflesh_not_motor.m3.bx,eflesh_not_motor.m3.by,eflesh_not_motor.m3.bz,eflesh_not_motor.m4.bx,eflesh_not_motor.m4.by,eflesh_not_motor.m4.bz,policy_cmd.shoulder_pan.pos,policy_cmd.shoulder_lift.pos,policy_cmd.elbow_flex.pos,policy_cmd.wrist_flex.pos,policy_cmd.wrist_roll.pos,policy_cmd.gripper.pos,sent_cmd.shoulder_pan.pos,sent_cmd.shoulder_lift.pos,sent_cmd.elbow_flex.pos,sent_cmd.wrist_flex.pos,sent_cmd.wrist_roll.pos,sent_cmd.gripper.pos,eflesh_on_motor_total,eflesh_not_motor_total,eflesh_combined_total,eflesh_asymmetry
0.0,-2.3905847738138988,-97.13080168776371,97.94826048171274,69.89247311827958,-2.4746027611357135,15.207373271889402,0.1435546875,-2.25634765625,4.3369140625,-3.697265625,-0.76800537109375,-2.244140625,0.911865234375,-1.53515625,0.8525390625,0.384521484375,-1.05712890625,-2.32177734375,1.248046875,1.727935791015625,1.39404296875,-0.7199859619140625,1.9683837890625,3.40740966796875,3.5537109375,-0.335968017578125,-3.4075927734375,-1.77587890625,1.8232421875,2.556396484375,-2.20806884765625,-3.5537109375,11.151458740234375,5.810546875,-3.984039306640625,2.710357666015625,-2.1556739807128906,-96.98762512207031,98.0743179321289,71.41759490966797,-3.257206439971924,11.704696655273438,-2.1556739807128906,-96.98762512207031,98.0743179321289,71.41759490966797,-3.257206439971924,11.704696655273438,16.389035974894128,32.00176578076999,48.39080175566412,-15.612729805875865
0.018148344999644905,-2.3905847738138988,-97.13080168776371,97.94826048171274,69.89247311827958,-2.4746027611357135,15.207373271889402,0.1435546875,-2.25634765625,0.46484375,1.1025390625,-0.76800537109375,-2.244140625,-1.48828125,3.2646484375,-3.01953125,-2.015380859375,-1.05712890625,1.55029296875,3.6484375,-0.67205810546875,5.26611328125,-0.7199859619140625,-2.8316650390625,3.40740966796875,1.1533203125,2.06402587890625,0.4644775390625,0.62408447265625,-0.5771484375,2.556396484375,-4.60809326171875,-5.9541015625,-0.46453857421875,1.0107421875,0.815948486328125,6.58233642578125,-2.157712936401367,-97.00410461425781,98.06804656982422,71.41911315917969,-3.2802228927612305,11.711921691894531,-2.157712936401367,-97.00410461425781,98.06804656982422,71.41911315917969,-3.2802228927612305,11.711921691894531,18.808552534620212,23.844764843704592,42.6533173783248,-5.03621230908438
0.0528365619975375,-2.3905847738138988,-97.13080168776371,97.94826048171274,69.89247311827958,-2.4746027611357135,15.207373271889402,-2.25634765625,2.54345703125,4.3369140625,-6.09765625,-0.76800537109375,1.6279296875,-3.88818359375,-3.93505859375,4.724609375,0.384521484375,1.3427734375,1.55029296875,6.0478515625,-0.67205810546875,1.39404296875,-3.1199874877929688,-2.8316650390625,7.279388427734375,3.5537109375,-0.335968017578125,0.4644775390625,-1.77587890625,-0.5771484375,-5.187744140625,-2.20806884765625,-1.1533203125,7.27947998046875,-1.3896484375,-1.58404541015625,2.710357666015625,-2.1562423706054688,-97.04256439208984,98.09868621826172,71.41026306152344,-3.2997288703918457,11.726579666137695,-2.1562423706054688,-97.04256439208984,98.09868621826172,71.41026306152344,-3.2997288703918457,11.726579666137695,27.472943505536165,28.65111778588199,56.12406129141816,-1.178174280345825
0.08144920899940189,-2.3905847738138988,-97.13080168776371,97.94826048171274,69.89247311827958,-2.6308934618390225,14.483212639894669,2.54345703125,9.74365234375,4.3369140625,-1.2978515625,4.03204345703125,1.6279296875,-6.288330078125,-3.93505859375,-3.01953125,-2.015380859375,-3.45703125,5.42236328125,-1.1513671875,1.727935791015625,9.137939453125,1.6800155639648438,1.9683837890625,7.279388427734375,-18.0458984375,-2.7359619140625,-7.279541015625,0.62408447265625,-2.9775390625,6.428466796875,0.19195556640625,-13.1533203125,-8.208526611328125,-6.189453125,3.2159423828125,10.454345703125,-2.157729148864746,-97.025634765625,98.08995056152344,71.40967559814453,-3.309581756591797,11.737869262695312,-2.157729148864746,-97.025634765625,98.08995056152344,71.40967559814453,-3.309581756591797,11.737869262695312,39.62118625916965,62.5612369328551,102.18242319202474,-22.940050673685455
0.11764448099711444,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.682990362073454,13.16655694535879,4.943603515625,7.34326171875,-3.4071044921875,5.90234375,-5.5679931640625,1.6279296875,-1.48828125,-1.53515625,-3.01953125,0.384521484375,-8.25732421875,-2.32177734375,-1.1513671875,-0.67205810546875,-2.47802734375,-3.1199874877929688,1.9683837890625,-0.464599609375,-32.4462890625,-2.7359619140625,-18.8955078125,-11.37591552734375,-7.77734375,6.428466796875,4.991943359375,-25.1533203125,-8.208526611328125,1.0107421875,-3.984039306640625,6.58233642578125,-2.172915458679199,-97.01856994628906,98.08023071289062,71.40006256103516,-3.296082019805908,11.780487060546875,-2.172915458679199,-97.01856994628906,98.08023071289062,71.40006256103516,-3.296082019805908,11.780487060546875,32.86112565120098,91.25693714918803,124.11806280038901,-58.395811497987054
0.14573402099995292,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.7350872623078857,12.639894667544437,-2.25634765625,9.74365234375,0.46484375,-3.697265625,1.63201904296875,9.3720703125,-3.88818359375,3.2646484375,-3.01953125,2.784423828125,-10.6572265625,-6.19384765625,-1.1513671875,-0.67205810546875,5.26611328125,1.6800155639648438,-2.8316650390625,-0.464599609375,-39.646484375,-2.7359619140625,-15.0235595703125,-8.97589111328125,-7.77734375,-1.315673828125,2.5919189453125,-27.5537109375,-8.208526611328125,1.0107421875,-6.384063720703125,10.454345703125,-2.1807689666748047,-96.99711608886719,98.04136657714844,71.39415740966797,-3.292693614959717,11.798486709594727,-2.1807689666748047,-96.99711608886719,98.04136657714844,71.39415740966797,-3.292693614959717,11.798486709594727,44.19490047902554,98.91825284064123,143.11315331966676,-54.72335236161569
0.18204748000061954,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.7350872623078857,12.442396313364055,0.1435546875,9.74365234375,8.2088623046875,1.1025390625,1.63201904296875,1.6279296875,-3.88818359375,8.06494140625,-6.8916015625,-2.015380859375,-13.05712890625,5.42236328125,-5.9521484375,-0.67205810546875,5.26611328125,-3.1199874877929688,1.9683837890625,3.40740966796875,-39.646484375,-0.335968017578125,-18.8955078125,-6.57586669921875,-10.1767578125,-5.187744140625,2.5919189453125,-32.353515625,-12.080535888671875,-1.3896484375,-1.58404541015625,10.454345703125,-2.179576873779297,-97.05265808105469,98.08415985107422,71.38790893554688,-3.319430351257324,11.78955078125,-2.179576873779297,-97.05265808105469,98.08415985107422,71.38790893554688,-3.319430351257324,11.78955078125,48.85204953843478,107.4196184665748,156.2716680050096,-58.56756892814003
0.21425541799908387,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.7350872623078857,12.244897959183673,9.74365234375,9.74365234375,4.3369140625,-1.2978515625,1.63201904296875,13.244140625,-3.88818359375,8.06494140625,-6.8916015625,0.384521484375,-8.25732421875,-2.32177734375,1.248046875,6.527923583984375,5.26611328125,-0.7199859619140625,-2.8316650390625,-0.464599609375,-39.646484375,-0.335968017578125,-15.0235595703125,-8.97589111328125,-7.77734375,-1.315673828125,4.991943359375,-34.75390625,-19.82452392578125,3.4111328125,-1.58404541015625,14.32635498046875,-2.187403678894043,-97.03036499023438,98.06138610839844,71.3846664428711,-3.3234996795654297,11.810556411743164,-2.187403678894043,-97.03036499023438,98.06138610839844,71.3846664428711,-3.3234996795654297,11.810556411743164,56.2174616385979,112.43917586945794,168.65663750805584,-56.221714230860044
0.25282539399995585,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.7350872623078857,12.113232389730086,4.943603515625,7.34326171875,8.2088623046875,1.1025390625,-0.76800537109375,-2.244140625,-3.88818359375,5.66455078125,-3.01953125,-2.015380859375,-5.85693359375,1.55029296875,-3.5517578125,1.727935791015625,13.010009765625,-0.7199859619140625,4.368408203125,-0.464599609375,-34.8466796875,-0.335968017578125,-15.0235595703125,-6.57586669921875,-5.376953125,-1.315673828125,4.991943359375,-22.75390625,-8.208526611328125,1.0107421875,-1.58404541015625,10.454345703125,-2.1787519454956055,-97.0443115234375,98.06983947753906,71.38119506835938,-3.3151121139526367,11.81141471862793,-2.1787519454956055,-97.0443115234375,98.06983947753906,71.38119506835938,-3.3151121139526367,11.81141471862793,42.17451773598292,86.31692207036954,128.49143980635245,-44.142404334386626
0.2900875539999106,-2.3905847738138988,-97.21518987341773,97.94826048171274,69.89247311827958,-2.7350872623078857,12.113232389730086,7.343505859375,9.74365234375,8.2088623046875,1.1025390625,-5.5679931640625,9.3720703125,-8.688232421875,8.06494140625,0.8525390625,-4.41552734375,-8.25732421875,-6.19384765625,1.248046875,4.1279296875,13.010009765625,-5.519981384277344,-2.8316650390625,-0.464599609375,-42.0458984375,-0.335968017578125,-22.767578125,-6.57586669921875,-12.5771484375,10.30029296875,2.5919189453125,-29.9541015625,-12.080535888671875,-3.7890625,-3.984039306640625,6.58233642578125,-2.201223373413086,-97.05894470214844,98.07227325439453,71.37863159179688,-3.331352710723877,11.816484451293945,-2.201223373413086,-97.05894470214844,98.07227325439453,71.37863159179688,-3.331352710723877,11.816484451293945,62.480542862671875,112.55199293719068,175.03253579986256,-50.0714500745188
