target_episode,target_dataset_index,replacement_episode,replacement_dataset_index,target_tactile_score,replacement_tactile_score,tactile_ratio,target_gripper_state,replacement_source_gripper_state,matched_gripper_difference,other5_normalized_distance,normal_shoulder_pan,low_tactile_shoulder_pan,signed_delta_shoulder_pan,abs_delta_shoulder_pan,normal_shoulder_lift,low_tactile_shoulder_lift,signed_delta_shoulder_lift,abs_delta_shoulder_lift,normal_elbow_flex,low_tactile_elbow_flex,signed_delta_elbow_flex,abs_delta_elbow_flex,normal_wrist_flex,low_tactile_wrist_flex,signed_delta_wrist_flex,abs_delta_wrist_flex,normal_wrist_roll,low_tactile_wrist_roll,signed_delta_wrist_roll,abs_delta_wrist_roll,normal_gripper,low_tactile_gripper,signed_delta_gripper,abs_delta_gripper
0,653,0,657,13239.001953125,11156.041015625,1.1867114807647832,13.561553955078125,13.561553955078125,0.0,0.1304231286048889,0.25860166549682617,0.257565975189209,0.0010356903076171875,0.0010356903076171875,-77.17860412597656,-79.48198699951172,2.3033828735351562,2.3033828735351562,92.83887481689453,94.55365753173828,-1.71478271484375,1.71478271484375,62.235286712646484,62.41195297241211,-0.176666259765625,0.176666259765625,0.7511329650878906,0.814610481262207,-0.0634775161743164,0.0634775161743164,17.192264556884766,17.708568572998047,-0.5163040161132812,0.5163040161132812
1,1444,8,6467,25704.96875,11797.2080078125,2.17890273130535,11.520737648010254,13.429887771606445,1.9091501235961916,3.37453031539917,0.10160064697265625,0.2750391960144043,-0.17343854904174805,0.17343854904174805,-77.06710815429688,-83.24053955078125,6.173431396484375,6.173431396484375,94.05500793457031,97.78323364257812,-3.7282257080078125,3.7282257080078125,63.860740661621094,63.81535339355469,0.04538726806640625,0.04538726806640625,-2.4665122032165527,-1.957254409790039,-0.5092577934265137,0.5092577934265137,15.226360321044922,16.555574417114258,-1.329214096069336,1.329214096069336
2,2280,2,2291,17696.373046875,11964.0546875,1.4791283982815713,16.392362594604492,16.392362594604492,0.0,0.5451995730400085,-0.06303548812866211,0.2691946029663086,-0.3322300910949707,0.3322300910949707,-76.02305603027344,-80.5147705078125,4.4917144775390625,4.4917144775390625,95.17985534667969,98.04129028320312,-2.8614349365234375,2.8614349365234375,60.86186218261719,60.369651794433594,0.49221038818359375,0.49221038818359375,-1.7639951705932617,-1.2622346878051758,-0.5017604827880859,0.5017604827880859,21.52274513244629,20.541582107543945,0.9811630249023438,0.9811630249023438
3,2844,5,3874,27397.484375,11729.0400390625,2.335867580275553,10.204081535339355,8.68992805480957,1.5141534805297852,4.24622917175293,1.8238773345947266,1.3855066299438477,0.4383707046508789,0.4383707046508789,-71.63849639892578,-81.35073852539062,9.712242126464844,9.712242126464844,90.98743438720703,97.56007385253906,-6.572639465332031,6.572639465332031,60.44862747192383,60.42121124267578,0.027416229248046875,0.027416229248046875,0.09433269500732422,-0.2840275764465332,0.3783602714538574,0.3783602714538574,16.867849349975586,18.07474136352539,-1.2068920135498047,1.2068920135498047
4,3576,5,4283,18879.359375,9475.0791015625,1.992527890546758,11.84990119934082,13.298222541809082,1.4483213424682615,0.3467759788036346,0.2206883430480957,0.1733379364013672,0.047350406646728516,0.047350406646728516,-84.47996520996094,-84.54509735107422,0.06513214111328125,0.06513214111328125,98.55610656738281,98.56893920898438,-0.0128326416015625,0.0128326416015625,58.98550033569336,59.26068878173828,-0.2751884460449219,0.2751884460449219,-1.422656536102295,-1.378570556640625,-0.04408597946166992,0.04408597946166992,15.25103759765625,16.329099655151367,-1.0780620574951172,1.0780620574951172
5,4231,34,24541,14403.9853515625,11926.005859375,1.2077794964556023,13.298222541809082,15.20737361907959,1.909151077270508,0.7856834530830383,1.1060032844543457,1.5089645385742188,-0.40296125411987305,0.40296125411987305,-81.50624084472656,-78.04859924316406,-3.4576416015625,3.4576416015625,97.94237518310547,96.49058532714844,1.4517898559570312,1.4517898559570312,59.02890396118164,58.2115478515625,0.8173561096191406,0.8173561096191406,1.4431915283203125,2.380923271179199,-0.9377317428588867,0.9377317428588867,24.73261260986328,25.957813262939453,-1.2252006530761719,1.2252006530761719
6,5040,27,19105,22440.45703125,10782.0439453125,2.0812804274467833,10.138248443603516,11.91573429107666,1.7774858474731443,1.117582082748413,0.2822732925415039,0.5459566116333008,-0.2636833190917969,0.2636833190917969,-85.63457489013672,-85.1088638305664,-0.5257110595703125,0.5257110595703125,97.95574951171875,97.9028549194336,0.05289459228515625,0.05289459228515625,59.270023345947266,59.29755783081055,-0.02753448486328125,0.02753448486328125,-1.5564208030700684,-1.0868959426879883,-0.4695248603820801,0.4695248603820801,18.231609344482422,21.222835540771484,-2.9912261962890625,2.9912261962890625
7,5814,14,10198,45752.05859375,10168.4150390625,4.499428713126979,7.24160623550415,8.887426376342773,1.645820140838623,0.9182969331741332,1.1808829307556152,1.3415522575378418,-0.16066932678222656,0.16066932678222656,-81.98927307128906,-84.40836334228516,2.4190902709960938,2.4190902709960938,96.86375427246094,98.11282348632812,-1.2490692138671875,1.2490692138671875,57.90962219238281,58.74739074707031,-0.8377685546875,0.8377685546875,-1.0817108154296875,-0.5580883026123047,-0.5236225128173828,0.5236225128173828,16.320955276489258,19.32745933532715,-3.0065040588378906,3.0065040588378906
8,6477,8,6467,17601.693359375,11797.2080078125,1.492021955340499,11.520737648010254,13.429887771606445,1.9091501235961916,0.0099575016647577,0.9502553939819336,1.1070685386657715,-0.1568131446838379,0.1568131446838379,-81.41374969482422,-83.17179870605469,1.7580490112304688,1.7580490112304688,96.29024505615234,97.3145751953125,-1.0243301391601562,1.0243301391601562,58.84480285644531,59.493621826171875,-0.6488189697265625,0.6488189697265625,1.2911486625671387,1.4092462062835693,-0.11809754371643066,0.11809754371643066,11.891735076904297,13.166950225830078,-1.2752151489257812,1.2752151489257812
9,7172,36,25574,48596.1328125,11999.0380859375,4.050002380561918,7.373271942138672,7.30743932723999,0.0658326148986816,3.3364171981811523,-0.3439507484436035,0.18507719039916992,-0.5290279388427734,0.5290279388427734,-73.30481719970703,-79.3639144897461,6.0590972900390625,6.0590972900390625,92.27352905273438,95.60584259033203,-3.3323135375976562,3.3323135375976562,58.18741226196289,59.13373565673828,-0.9463233947753906,0.9463233947753906,-2.930410385131836,-1.293248176574707,-1.637162208557129,1.637162208557129,15.894832611083984,17.340118408203125,-1.4452857971191406,1.4452857971191406
10,7893,37,26270,40327.81640625,8458.451171875,4.767754236182516,9.677419662475586,11.059907913208008,1.382488250732422,2.7222330570220947,1.3183503150939941,1.5459527969360352,-0.22760248184204102,0.22760248184204102,-77.42904663085938,-82.56678009033203,5.137733459472656,5.137733459472656,95.2183837890625,97.73361206054688,-2.515228271484375,2.515228271484375,53.55732345581055,55.70552062988281,-2.1481971740722656,2.1481971740722656,-2.1349873542785645,-0.635892391204834,-1.4990949630737305,1.4990949630737305,20.00711441040039,23.723773956298828,-3.7166595458984375,3.7166595458984375
11,8592,5,4251,38509.3125,10607.609375,3.6303479076783027,13.693219184875488,13.298222541809082,0.3949966430664062,1.5326135158538818,-0.8488497734069824,-0.8360896110534668,-0.012760162353515625,0.012760162353515625,-82.67425537109375,-87.86773681640625,5.1934814453125,5.1934814453125,96.80261993408203,98.52775573730469,-1.7251358032226562,1.7251358032226562,56.73877716064453,59.664955139160156,-2.926177978515625,2.926177978515625,-0.39525556564331055,0.11077404022216797,-0.5060296058654785,0.5060296058654785,15.618389129638672,14.99349594116211,0.6248931884765625,0.6248931884765625
12,9205,44,31539,61203.80859375,10274.224609375,5.957024585378725,7.768268585205078,8.755760192871094,0.9874916076660156,3.852936029434204,0.33098268508911133,0.7577314376831055,-0.42674875259399414,0.42674875259399414,-79.85952758789062,-83.22024536132812,3.3607177734375,3.3607177734375,94.19952392578125,95.84122467041016,-1.6417007446289062,1.6417007446289062,59.240474700927734,60.921226501464844,-1.6807518005371094,1.6807518005371094,-0.8027806282043457,0.24741101264953613,-1.0501916408538818,1.0501916408538818,14.026159286499023,15.803007125854492,-1.7768478393554688,1.7768478393554688
13,10005,35,25457,40389.046875,12101.359375,3.337562799633822,6.122448921203613,8.031599998474121,1.909151077270508,3.4149725437164307,-0.5586557388305664,-0.43233394622802734,-0.12632179260253906,0.12632179260253906,-78.91412353515625,-81.7546157836914,2.8404922485351562,2.8404922485351562,93.90797424316406,95.34838104248047,-1.4404067993164062,1.4404067993164062,61.45310974121094,61.71554183959961,-0.2624320983886719,0.2624320983886719,-3.672872543334961,-2.383795738220215,-1.289076805114746,1.289076805114746,8.662830352783203,9.044811248779297,-0.38198089599609375,0.38198089599609375
14,10481,36,25574,57429.5859375,11999.0380859375,4.786182486144926,8.229098320007324,7.30743932723999,0.921658992767334,3.7489635944366455,-0.13992547988891602,0.2526206970214844,-0.3925461769104004,0.3925461769104004,-77.59214782714844,-81.49060821533203,3.8984603881835938,3.8984603881835938,93.90924072265625,95.97000122070312,-2.060760498046875,2.060760498046875,60.763633728027344,61.88300323486328,-1.1193695068359375,1.1193695068359375,-3.029022693634033,-1.7682476043701172,-1.260775089263916,1.260775089263916,12.014654159545898,12.982505798339844,-0.9678516387939453,0.9678516387939453
15,10814,4,3744,32414.81640625,11741.453125,2.760715906384032,13.693219184875488,15.20737361907959,1.5141544342041016,0.0129574788734316,0.1384892463684082,-0.0003933906555175781,0.13888263702392578,0.13888263702392578,-81.2042007446289,-82.96022033691406,1.7560195922851562,1.7560195922851562,96.58554077148438,97.24834442138672,-0.6628036499023438,0.6628036499023438,60.02232360839844,61.03500747680664,-1.0126838684082031,1.0126838684082031,0.2596900463104248,0.02714252471923828,0.23254752159118652,0.23254752159118652,20.30349349975586,20.863569259643555,-0.5600757598876953,0.5600757598876953
16,11751,33,23923,24751.72265625,11133.9248046875,2.223090517535134,11.257406234741211,12.837392807006836,1.579986572265625,1.9025280475616453,0.49434709548950195,0.9647574424743652,-0.4704103469848633,0.4704103469848633,-80.163330078125,-85.26202392578125,5.09869384765625,5.09869384765625,95.53838348388672,98.07803344726562,-2.5396499633789062,2.5396499633789062,58.5418586730957,59.27635192871094,-0.7344932556152344,0.7344932556152344,1.2676208019256592,2.6475110054016113,-1.3798902034759521,1.3798902034759521,22.86653709411621,23.92923927307129,-1.0627021789550781,1.0627021789550781
