target_episode,target_dataset_index,target_frame_index,target_time_s,target_tactile_score,target_gripper,replacement_episode,replacement_dataset_index,replacement_frame_index,replacement_time_s,replacement_tactile_score,replacement_gripper,abs_gripper_diff,other5_normalized_distance,shoulder_pan_diff,shoulder_lift_diff,elbow_flex_diff,wrist_flex_diff,wrist_roll_diff
24,17376,473,15.766666412353516,45012.5078125,10.599078178405762,47,33100,64,2.133333444595337,11452.287109375,9.677419662475586,0.9216585159301758,4.4704437255859375,-19.933799743652344,-120.42193603515625,85.6378173828125,42.34904861450195,-33.91508102416992
25,18094,445,14.833333015441895,62900.328125,6.7807769775390625,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,0.7899937629699707,4.542653560638428,-1.986024260520935,-29.70464324951172,0.26761627197265625,90.81886291503906,-19.640531539916992
26,18823,579,19.299999237060547,85134.7578125,5.990783214569092,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,0.0,5.514653205871582,-14.122838973999023,-75.69619750976562,14.897407531738281,106.368896484375,-13.493098258972168
27,19602,545,18.16666603088379,39179.5703125,9.874917984008789,36,25580,80,2.6666667461395264,11955.5986328125,8.031599998474121,1.843317985534668,3.027996301651001,-1.9124678373336792,-14.5147705078125,-0.17841339111328125,62.282875061035156,-1.3024225234985352
28,20302,509,16.96666717529297,42540.1953125,10.730744361877441,5,3875,73,2.433333396911621,11715.595703125,10.204081535339355,0.5266628265380859,3.59861421585083,-14.417064666748047,-70.04219055175781,26.85102081298828,61.62117385864258,-13.85777473449707
29,21114,464,15.466666221618652,21110.923828125,14.088215827941895,6,4939,449,14.966666221618652,11960.6376953125,14.022382736206055,0.06583309173583984,2.080116033554077,14.490622520446777,-3.2067511081695557,10.526313781738281,20.347394943237305,27.87183952331543
30,21909,471,15.699999809265137,29821.921875,10.072416305541992,5,3874,72,2.4000000953674316,11729.0400390625,8.68992805480957,1.3824882507324219,3.4668831825256348,-15.667524337768555,-100.92826843261719,66.28010559082031,34.57402801513672,19.11956214904785
31,22800,656,21.866666793823242,29679.2265625,9.940750122070312,37,26268,71,2.366666555404663,8517.9970703125,10.401579856872559,0.4608297348022461,0.02939567342400551,-0.07355654239654541,0.0,0.5352325439453125,-0.1654205322265625,-0.4688720703125
32,23320,469,15.633333206176758,31017.833984375,10.664911270141602,5,3874,72,2.4000000953674316,11729.0400390625,8.68992805480957,1.9749832153320312,3.460186719894409,-9.19455623626709,-68.01687622070312,28.545936584472656,61.12489700317383,-13.024225234985352
33,23962,393,13.100000381469727,21970.9375,5.990783214569092,44,31540,610,20.33333396911621,10294.6416015625,7.373271942138672,1.38248872756958,1.850684404373169,-11.695475578308105,-40.0,25.780548095703125,25.723739624023438,-2.188070058822632
