squeeze,contact_position,minimum_position,maximum_post_contact_closure,maximum_eflesh,maximum_current_raw,median_current_raw
1,19.461827284105134,9.386733416770964,10.07509386733417,83630.63153226118,113,56.0
2,21.90237797246558,9.449311639549435,12.453066332916144,76068.19741185498,102,20.0
3,21.339173967459324,9.574468085106384,11.76470588235294,83125.78909325956,114,40.0
4,23.02878598247809,11.576971214017522,11.451814768460569,72543.65278106998,78,9.0
5,21.526908635794744,10.262828535669586,11.264080100125158,82745.15340913221,121,31.0
