time_s,unix_time,act_gripper_command,sent_gripper_command,gripper_position,current_raw,abs_current_raw,system_armed,contact_detected,contact_position,post_contact_closure,safe_boundary_position,current_relief,position_limit_active
5.619581553000899,1788438008.108915,17.098125457763672,17.098125457763672,16.56210790464241,0.0,0.0,0,0,,0.0,,0,0
5.638983463000841,1788438008.128317,18.269153594970703,18.269153594970703,16.56210790464241,1.0,1.0,0,0,,0.0,,0,0
5.668431426000097,1788438008.1577652,18.8022403717041,18.8022403717041,16.68757841907152,4.0,4.0,0,0,,0.0,,0,0
5.701738588999433,1788438008.1910722,19.351978302001953,19.351978302001953,17.37766624843162,1.0,1.0,0,0,,0.0,,0,0
5.734552567000719,1788438008.223886,20.879919052124023,20.879919052124023,18.005018820577163,2.0,2.0,0,0,,0.0,,0,0
5.769879688999936,1788438008.2592132,21.85047721862793,21.85047721862793,18.63237139272271,4.0,4.0,0,0,,0.0,,0,0
5.804427516999567,1788438008.2937613,21.35188102722168,21.35188102722168,19.573400250941027,3.0,3.0,0,0,,0.0,,0,0
5.836200510000708,1788438008.325534,24.43058204650879,24.43058204650879,20.388958594730237,0.0,0.0,0,0,,0.0,,0,0
5.870914537999852,1788438008.360248,25.55712890625,25.55712890625,20.5771643663739,7.0,7.0,0,0,,0.0,,0,0
5.902739119001126,1788438008.3920727,28.341575622558594,28.341575622558594,21.392722710163113,8.0,8.0,0,0,,0.0,,0,0
5.936715166000795,1788438008.4260495,30.552085876464844,30.552085876464844,23.086574654956085,6.0,6.0,0,0,,0.0,,0,0
5.9694658650005294,1788438008.4587996,32.607688903808594,32.607688903808594,25.094102885821833,6.0,6.0,0,0,,0.0,,0,0
6.002707932000703,1788438008.4920416,32.84540557861328,32.84540557861328,27.164366373902133,4.0,4.0,0,0,,0.0,,0,0
6.035870679999789,1788438008.5252047,37.97611999511719,37.97611999511719,29.17189460476788,0.0,0.0,0,0,,0.0,,0,0
6.069730540999444,1788438008.5590641,39.42742156982422,39.42742156982422,30.61480552070264,4.0,4.0,0,0,,0.0,,0,0
6.106735618999664,1788438008.596069,48.86960220336914,48.86960220336914,32.05771643663739,17.0,17.0,0,0,,0.0,,0,0
6.137022031000015,1788438008.626356,55.857242584228516,55.857242584228516,34.19071518193225,14.0,14.0,1,0,,0.0,,0,0
6.170358401001067,1788438008.659692,65.96479797363281,65.96479797363281,37.327478042659976,11.0,11.0,1,0,,0.0,,0,0
6.204459962000328,1788438008.6937935,71.11102294921875,71.11102294921875,40.71518193224592,5.0,5.0,1,0,,0.0,,0,0
6.2364135080006236,1788438008.725747,76.01731872558594,76.01731872558594,44.165621079046424,8.0,8.0,1,0,,0.0,,0,0
6.2709944090001954,1788438008.760328,83.40736389160156,83.40736389160156,47.42785445420326,8.0,8.0,1,0,,0.0,,0,0
6.303456052000911,1788438008.79279,86.92147827148438,86.92147827148438,51.06649937264742,7.0,7.0,1,0,,0.0,,0,0
6.3372338360004505,1788438008.8265674,91.55126953125,91.55126953125,54.64240903387704,6.0,6.0,1,0,,0.0,,0,0
6.371103859000868,1788438008.8604374,94.41819763183594,94.41819763183594,58.21831869510665,8.0,8.0,1,0,,0.0,,0,0
6.404874682999434,1788438008.8942082,95.01978302001953,95.01978302001953,61.794228356336255,8.0,8.0,1,0,,0.0,,0,0
6.442778532000375,1788438008.9321122,95.17183685302734,95.17183685302734,65.7465495608532,7.0,7.0,1,0,,0.0,,0,0
6.4708946570008266,1788438008.9602284,95.45675659179688,95.45675659179688,68.63237139272272,7.0,7.0,1,0,,0.0,,0,0
6.504129787999773,1788438008.9934633,95.29216003417969,95.29216003417969,72.08281053952321,8.0,8.0,1,0,,0.0,,0,0
6.537609906999933,1788438009.0269434,95.44451141357422,95.44451141357422,75.65872020075282,7.0,7.0,1,0,,0.0,,0,0
6.571757570000045,1788438009.0610912,95.44435119628906,95.44435119628906,79.10915934755333,7.0,7.0,1,0,,0.0,,0,0
6.6055077760011045,1788438009.0948412,95.53800201416016,95.53800201416016,82.43412797992472,7.0,7.0,1,0,,0.0,,0,0
6.640780424000695,1788438009.130114,95.32577514648438,95.32577514648438,86.07277289836888,1.0,1.0,1,0,,0.0,,0,0
6.67250695400071,1788438009.1618407,95.38876342773438,95.38876342773438,89.14680050188207,0.0,0.0,1,0,,0.0,,0,0
6.706358422999983,1788438009.195692,95.16258239746094,95.16258239746094,91.27979924717692,0.0,0.0,1,0,,0.0,,0,0
6.73903822200009,1788438009.2283719,95.10074615478516,95.10074615478516,92.534504391468,0.0,0.0,1,0,,0.0,,0,0
6.77150446000087,1788438009.2608385,95.10041809082031,95.10041809082031,93.28732747804266,1.0,1.0,1,0,,0.0,,0,0
6.807450881000477,1788438009.2967846,94.96229553222656,94.96229553222656,93.7892095357591,0.0,0.0,1,0,,0.0,,0,0
6.8387475830004405,1788438009.3280811,94.83755493164062,94.83755493164062,94.10288582183188,1.0,1.0,1,0,,0.0,,0,0
6.874458910000612,1788438009.3637927,94.73152160644531,94.73152160644531,94.29109159347553,1.0,1.0,1,0,,0.0,,0,0
6.905103402999885,1788438009.3944368,94.63972473144531,94.63972473144531,94.3538268506901,1.0,1.0,1,0,,0.0,,0,0
6.939113971000552,1788438009.4284477,94.54965209960938,94.54965209960938,94.3538268506901,0.0,0.0,1,0,,0.0,,0,0
6.971487556000284,1788438009.4608212,94.51654052734375,94.51654052734375,94.3538268506901,0.0,0.0,1,0,,0.0,,0,0
7.004571245000989,1788438009.4939048,94.41793823242188,94.41793823242188,94.3538268506901,0.0,0.0,1,0,,0.0,,0,0
7.0379644019994885,1788438009.527298,94.2619400024414,94.2619400024414,94.3538268506901,0.0,0.0,1,0,,0.0,,0,0
7.072609189999639,1788438009.5619428,94.09947967529297,94.09947967529297,94.3538268506901,0.0,0.0,1,0,,0.0,,0,0
7.106513040000209,1788438009.595847,94.00032043457031,94.00032043457031,94.3538268506901,1.0,1.0,1,0,,0.0,,0,0
7.138766890000625,1788438009.6281006,94.01449584960938,94.01449584960938,94.3538268506901,1.0,1.0,1,0,,0.0,,0,0
7.1734910200011655,1788438009.6628246,94.0400161743164,94.0400161743164,94.29109159347553,0.0,0.0,1,0,,0.0,,0,0
7.206409718000941,1788438009.6957436,93.93579864501953,93.93579864501953,94.22835633626097,0.0,0.0,1,0,,0.0,,0,0
7.242767068999456,1788438009.732101,93.92878723144531,93.92878723144531,94.22835633626097,0.0,0.0,1,0,,0.0,,0,0
7.275714020001033,1788438009.7650476,94.02088928222656,94.02088928222656,94.22835633626097,0.0,0.0,1,0,,0.0,,0,0
