time_s,unix_time,on_motor_sensor_time,not_motor_sensor_time,on_motor_raw_m0_bx,on_motor_raw_m0_by,on_motor_raw_m0_bz,on_motor_raw_m1_bx,on_motor_raw_m1_by,on_motor_raw_m1_bz,on_motor_raw_m2_bx,on_motor_raw_m2_by,on_motor_raw_m2_bz,on_motor_raw_m3_bx,on_motor_raw_m3_by,on_motor_raw_m3_bz,on_motor_raw_m4_bx,on_motor_raw_m4_by,on_motor_raw_m4_bz,not_motor_raw_m0_bx,not_motor_raw_m0_by,not_motor_raw_m0_bz,not_motor_raw_m1_bx,not_motor_raw_m1_by,not_motor_raw_m1_bz,not_motor_raw_m2_bx,not_motor_raw_m2_by,not_motor_raw_m2_bz,not_motor_raw_m3_bx,not_motor_raw_m3_by,not_motor_raw_m3_bz,not_motor_raw_m4_bx,not_motor_raw_m4_by,not_motor_raw_m4_bz,on_motor_delta_m0_bx,on_motor_delta_m0_by,on_motor_delta_m0_bz,on_motor_delta_m1_bx,on_motor_delta_m1_by,on_motor_delta_m1_bz,on_motor_delta_m2_bx,on_motor_delta_m2_by,on_motor_delta_m2_bz,on_motor_delta_m3_bx,on_motor_delta_m3_by,on_motor_delta_m3_bz,on_motor_delta_m4_bx,on_motor_delta_m4_by,on_motor_delta_m4_bz,not_motor_delta_m0_bx,not_motor_delta_m0_by,not_motor_delta_m0_bz,not_motor_delta_m1_bx,not_motor_delta_m1_by,not_motor_delta_m1_bz,not_motor_delta_m2_bx,not_motor_delta_m2_by,not_motor_delta_m2_bz,not_motor_delta_m3_bx,not_motor_delta_m3_by,not_motor_delta_m3_bz,not_motor_delta_m4_bx,not_motor_delta_m4_by,not_motor_delta_m4_bz,on_motor_mag0_strength,on_motor_mag1_strength,on_motor_mag2_strength,on_motor_mag3_strength,on_motor_mag4_strength,not_motor_mag0_strength,not_motor_mag1_strength,not_motor_mag2_strength,not_motor_mag3_strength,not_motor_mag4_strength,on_motor_total,not_motor_total,combined_total,asymmetry,gripper_state,gripper_action,timestamp,signal
76.30634253899916,1787841046.1850169,1787841046.183622,1787841046.1828775,-124.8000030517578,-3184.800048828125,-398.8160095214844,-9482.400390625,-1152.0,-3837.152099609375,1053.60009765625,9549.6005859375,2656.19189453125,424.8000183105469,-8522.400390625,480.12799072265625,-10723.2001953125,-508.8000183105469,-162.62399291992188,-182.40000915527344,-1836.0001220703125,298.1440124511719,-10716.0,-914.4000244140624,-2052.159912109375,482.4000244140625,10562.400390625,2327.072021484375,16.80000114440918,-10452.0,762.7839965820312,-10927.2001953125,146.40000915527344,116.15999603271484,9.84000274658203,9.36011230468739,5.575663452148433,22.415917968750364,-0.4319531250000636,3.407280273437664,-4.703935546875073,-24.143710937500146,-8.905717773437573,-7.1520031738281205,17.0880078124992,-10.454409790039051,28.368066406250364,-2.1119958496094,10.919048156738285,12.863997192382811,-2.544040527343668,-0.9292681884765556,12.720312499999636,1.3920141601562364,-2.3231298828122817,-0.6239978027343795,-13.248085937499129,5.265981445312718,-8.783999671936034,12.480312499999854,-26.949123535156215,19.968164062500364,-3.7919992065429824,15.797756805419922,14.680782654229509,22.677511343745376,26.16022929033385,21.27077442070565,30.470203982700337,13.14603002189309,13.005421406941716,14.269958473925469,30.97050386492502,25.742493159998027,115.25950169171472,97.13440692768332,212.39390861939805,0.0853371684802452,92.61576843261719,92.98916625976562,0.0,207.7592056177734
76.3263971080014,1787841046.2050714,1787841046.2028654,1787841046.2047925,-122.4000015258789,-3184.800048828125,-394.9440002441406,-9477.6005859375,-1156.800048828125,-3837.152099609375,1048.800048828125,9556.80078125,2656.19189453125,427.2000122070313,-8520.0,484.0,-10723.2001953125,-506.4000244140625,-162.62399291992188,-184.8000030517578,-1831.2000732421875,302.0159912109375,-10720.80078125,-916.800048828125,-2052.159912109375,484.8000183105469,10552.80078125,2327.072021484375,14.40000057220459,-10452.0,770.5280151367188,-10934.400390625,148.8000030517578,116.15999603271484,12.240004272460936,9.36011230468739,9.447672729492185,27.215722656250364,-5.232001953125064,3.407280273437664,-9.503984375000073,-16.943515625000146,-8.905717773437573,-4.7520092773437455,19.4883984374992,-6.582400512695301,28.368066406250364,0.287998046874975,10.919048156738285,10.464003295898436,2.256008300781332,2.9427105712890693,7.919531249999636,-1.0080102539062636,-2.3231298828122817,1.7759960937499957,-22.847695312499127,5.265981445312718,-11.184000244140623,12.480312499999854,-19.20510498046872,12.767968750000364,-1.3920053100586074,15.797756805419922,18.074510420750336,27.92273201177136,21.371014243479213,21.111780179326747,30.39828526666601,11.101553221785862,8.31456507245667,23.513866202736367,25.488744944963734,20.359956406323874,118.87832212199366,88.7786858482665,207.65700797026017,0.1449488103865866,92.61576843261719,92.98916625976562,0.0,207.86140326528664
76.3464559339991,1787841046.22513,1787841046.22478,1787841046.2240424,-122.4000015258789,-3182.400146484375,-394.9440002441406,-9487.2001953125,-1154.4000244140625,-3837.152099609375,1048.800048828125,9552.0,2652.320068359375,424.8000183105469,-8520.0,472.3840026855469,-10723.2001953125,-506.4000244140625,-154.8800048828125,-182.40000915527344,-1836.0001220703125,302.0159912109375,-10718.400390625,-914.4000244140624,-2056.031982421875,482.4000244140625,10557.6005859375,2319.327880859375,16.80000114440918,-10454.400390625,766.656005859375,-10924.80078125,148.8000030517578,123.90399932861328,12.240004272460936,11.76001464843739,9.447672729492185,17.616113281250364,-2.831977539062564,3.407280273437664,-9.503984375000073,-21.744296875000146,-12.777543945312573,-7.1520031738281205,19.4883984374992,-18.198397827148423,28.368066406250364,0.287998046874975,18.66303619384766,12.863997192382811,-2.544040527343668,2.9427105712890693,10.319921874999636,1.3920141601562364,-6.195200195312282,-0.6239978027343795,-18.047890624999127,-2.4781591796872817,-8.783999671936034,10.079921874999854,-23.077114257812468,22.367578125000364,-1.3920053100586074,23.54176010131836,19.426120794562003,18.164721379128217,26.951916348615743,27.606711258900965,33.95790120836831,13.439274960978228,12.11688889064222,18.22791820778273,26.67052076189748,32.50324135573637,126.10737098957524,102.95784417703705,229.0652151666123,0.1010608563840661,92.61576843261719,92.98916625976562,0.0,208.2632922431149
76.36652636999861,1787841046.2452002,1787841046.2440553,1787841046.2433274,-122.4000015258789,-3189.60009765625,-402.68798828125,-9482.400390625,-1154.4000244140625,-3833.280029296875,1056.0,9554.400390625,2660.06396484375,427.2000122070313,-8520.0,484.0,-10718.400390625,-511.2000122070313,-158.7519989013672,-182.40000915527344,-1833.60009765625,305.88800048828125,-10723.2001953125,-914.4000244140624,-2048.2880859375,484.8000183105469,10560.0,2323.199951171875,16.80000114440918,-10452.0,770.5280151367188,-10927.2001953125,146.40000915527344,116.15999603271484,12.240004272460936,4.560063476562391,1.703684692382808,22.415917968750364,-2.831977539062564,7.279350585937664,-2.3040332031250728,-19.343906250000146,-5.033647460937573,-4.7520092773437455,19.4883984374992,-6.582400512695301,33.167871093750364,-4.511989746093775,14.791042175292972,12.863997192382811,-0.1440161132811681,6.814719848632819,5.520117187499636,1.3920141601562364,1.5486962890627185,1.7759960937499957,-15.648476562499129,1.3939111328127185,-8.783999671936034,12.480312499999854,-19.20510498046872,19.968164062500364,-3.7919992065429824,15.797756805419922,13.17248742763491,23.737784650562723,20.120459357850176,21.111780179326747,36.595637075911,14.558281870532236,5.899818419371989,15.810501861050424,24.5306524096904,25.742493159998027,114.73814869128556,86.54174772064307,201.27989641192863,0.1400855300170527,92.61576843261719,92.98916625976562,0.0,208.66518122094317
76.38659062200168,1787841046.2652647,1787841046.2633157,1787841046.262566,-127.20000457763672,-3184.800048828125,-394.9440002441406,-9482.400390625,-1154.4000244140625,-3833.280029296875,1048.800048828125,9549.6005859375,2660.06396484375,424.8000183105469,-8522.400390625,484.0,-10718.400390625,-508.8000183105469,-162.62399291992188,-184.8000030517578,-1833.60009765625,294.2720031738281,-10718.400390625,-912.0000610351562,-2048.2880859375,482.4000244140625,10560.0,2323.199951171875,16.80000114440918,-10452.0,766.656005859375,-10934.400390625,148.8000030517578,116.15999603271484,7.440001220703124,9.36011230468739,9.447672729492185,22.415917968750364,-2.831977539062564,7.279350585937664,-9.503984375000073,-24.143710937500146,-5.033647460937573,-7.1520031738281205,17.0880078124992,-6.582400512695301,33.167871093750364,-2.1119958496094,10.919048156738285,10.464003295898436,-0.1440161132811681,-4.801277465820306,10.319921874999636,3.7919775390624864,1.5486962890627185,-0.6239978027343795,-15.648476562499129,1.3939111328127185,-8.783999671936034,12.480312499999854,-23.077114257812468,12.767968750000364,-1.3920053100586074,15.797756805419922,15.238892365392392,23.737784650562723,26.430703804378968,19.65907314468341,34.98276449924417,11.51383389324563,11.1030780128128,15.722823545123218,27.667129464444923,20.359956406323874,120.04921846426168,86.36682132195044,206.4160397862121,0.1631772277832505,92.61576843261719,92.98916625976562,0.03333333507180214,210.52954492017062
76.40667138400022,1787841046.2853453,1787841046.282542,1787841046.2844985,-127.20000457763672,-3184.800048828125,-394.9440002441406,-9484.80078125,-1152.0,-3829.407958984375,1056.0,9552.0,2660.06396484375,429.6000061035156,-8527.2001953125,484.0,-10718.400390625,-504.0000305175781,-154.8800048828125,-182.40000915527344,-1836.0001220703125,302.0159912109375,-10718.400390625,-916.800048828125,-2052.159912109375,484.8000183105469,10557.6005859375,2327.072021484375,16.80000114440918,-10454.400390625,762.7839965820312,-10932.0,148.8000030517578,116.15999603271484,7.440001220703124,9.36011230468739,9.447672729492185,20.015527343750364,-0.4319531250000636,11.151420898437664,-2.3040332031250728,-21.744296875000146,-5.033647460937573,-2.3520153808593705,12.2882031249992,-6.582400512695301,33.167871093750364,2.68799194335935,18.66303619384766,12.863997192382811,-2.544040527343668,2.9427105712890693,10.319921874999636,-1.0080102539062636,-2.3231298828122817,1.7759960937499957,-18.047890624999127,5.265981445312718,-8.783999671936034,10.079921874999854,-26.949123535156215,15.168359375000364,-1.3920053100586074,15.797756805419922,15.238892365392392,22.916415653516324,22.437928209846987,14.137181787844794,38.15287529862033,13.439274960978228,10.626090750153208,18.88414887463357,30.083529290224305,21.94506607407652,112.88329331522084,94.97810995006584,207.86140326528664,0.086140010044593,92.6783447265625,92.98916625976562,0.06666667014360428,212.39390861939805
76.4267268040021,1787841046.3054006,1787841046.3046231,1787841046.3037932,-120.00000762939452,-3182.400146484375,-391.0719909667969,-9487.2001953125,-1149.60009765625,-3837.152099609375,1048.800048828125,9552.0,2656.19189453125,429.6000061035156,-8522.400390625,480.12799072265625,-10725.6005859375,-506.4000244140625,-158.7519989013672,-184.8000030517578,-1836.0001220703125,302.0159912109375,-10718.400390625,-912.0000610351562,-2048.2880859375,482.4000244140625,10562.400390625,2327.072021484375,14.40000057220459,-10456.80078125,762.7839965820312,-10927.2001953125,151.20001220703125,116.15999603271484,14.639998168945311,11.76001464843739,13.319682006835931,17.616113281250364,1.9679492187499363,3.407280273437664,-9.503984375000073,-21.744296875000146,-8.905717773437573,-2.3520153808593705,17.0880078124992,-10.454409790039051,25.967675781250364,0.287998046874975,14.791042175292972,10.464003295898436,-2.544040527343668,2.9427105712890693,10.319921874999636,3.7919775390624864,1.5486962890627185,-0.6239978027343795,-13.248085937499129,5.265981445312718,-11.184000244140623,7.6795312499998545,-26.949123535156215,19.968164062500364,1.00800384521483,15.797756805419922,23.022628426863275,18.05020304947236,25.346636357680843,20.169944754755704,29.886084671405783,11.16364871749899,11.1030780128128,14.269958473925469,30.17138248396604,25.48161627256188,116.47549726017796,92.18968396076518,208.66518122094317,0.1163865152648442,92.6783447265625,92.98916625976562,0.06666667014360428,219.53870797307283
76.44678973600094,1787841046.3254638,1787841046.3239543,1787841046.3230674,-122.4000015258789,-3187.2001953125,-394.9440002441406,-9482.400390625,-1156.800048828125,-3825.535888671875,1053.60009765625,9554.400390625,2656.19189453125,424.8000183105469,-8522.400390625,484.0,-10713.6005859375,-508.8000183105469,-158.7519989013672,-184.8000030517578,-1833.60009765625,294.2720031738281,-10718.400390625,-916.800048828125,-2048.2880859375,489.6000061035156,10560.0,2327.072021484375,14.40000057220459,-10449.6005859375,762.7839965820312,-10936.80078125,146.40000915527344,120.03199768066406,12.240004272460936,6.959965820312391,9.447672729492185,22.415917968750364,-5.232001953125064,15.023491210937664,-4.703935546875073,-19.343906250000146,-8.905717773437573,-7.1520031738281205,17.0880078124992,-6.582400512695301,37.96767578125037,-2.1119958496094,14.791042175292972,10.464003295898436,-0.1440161132811681,-4.801277465820306,10.319921874999636,-1.0080102539062636,1.5486962890627185,6.5759838867187455,-15.648476562499129,5.265981445312718,-11.184000244140623,14.879726562499854,-26.949123535156215,10.367578125000364,-3.7919992065429824,19.66975845336914,16.956336538691634,27.48731545612214,21.808840585828296,19.65907314468341,40.80171392638069,11.51383389324563,10.484051333994543,17.772139527582123,32.75276146142203,22.555827002668188,126.7132796517062,95.07861321891252,221.7918928706187,0.142632203654295,92.74092864990234,92.98916625976562,0.10000000149011612,221.7918928706187
76.4668632210014,1787841046.345537,1787841046.3433163,1787841046.345067,-127.20000457763672,-3184.800048828125,-398.8160095214844,-9482.400390625,-1159.2000732421875,-3833.280029296875,1051.2000732421875,9552.0,2660.06396484375,427.2000122070313,-8522.400390625,476.2560119628906,-10718.400390625,-508.8000183105469,-154.8800048828125,-180.0,-1836.0001220703125,302.0159912109375,-10716.0,-919.2000122070312,-2048.2880859375,487.2000122070313,10557.6005859375,2330.944091796875,16.80000114440918,-10454.400390625,766.656005859375,-10932.0,151.20001220703125,120.03199768066406,7.440001220703124,9.36011230468739,5.575663452148433,22.415917968750364,-7.632026367187564,7.279350585937664,-7.103959960937573,-21.744296875000146,-5.033647460937573,-4.7520092773437455,17.0880078124992,-14.326388549804676,33.167871093750364,-2.1119958496094,18.66303619384766,15.264006347656249,-2.544040527343668,2.9427105712890693,12.720312499999636,-3.4079736328125136,1.5486962890627185,4.1759899902343705,-18.047890624999127,9.138051757812718,-8.783999671936034,10.079921874999854,-23.077114257812468,15.168359375000364,1.00800384521483,19.66975845336914,13.192927781658174,24.773173995356,23.422602342091466,22.799715174799207,38.11662523536516,15.751875364299762,13.259679278751388,20.65597342995321,26.67052076189748,24.859497088537733,122.30504452927,101.19754592343958,223.5025904527096,0.0944396150535736,92.74092864990234,92.98916625976562,0.10000000149011612,221.7918928706187
76.48692827500054,1787841046.3656025,1787841046.3654318,1787841046.364339,-127.20000457763672,-3184.800048828125,-398.8160095214844,-9480.0,-1156.800048828125,-3829.407958984375,1051.2000732421875,9549.6005859375,2656.19189453125,424.8000183105469,-8520.0,480.12799072265625,-10718.400390625,-504.0000305175781,-154.8800048828125,-184.8000030517578,-1833.60009765625,302.0159912109375,-10725.6005859375,-914.4000244140624,-2056.031982421875,482.4000244140625,10562.400390625,2330.944091796875,16.80000114440918,-10447.2001953125,762.7839965820312,-10927.2001953125,148.8000030517578,112.28800201416016,7.440001220703124,9.36011230468739,5.575663452148433,24.816308593750364,-5.232001953125064,11.151420898437664,-7.103959960937573,-24.143710937500146,-8.905717773437573,-7.1520031738281205,19.4883984374992,-10.454409790039051,33.167871093750364,2.68799194335935,18.66303619384766,10.464003295898436,-0.1440161132811681,2.9427105712890693,3.119726562499636,1.3920141601562364,-6.195200195312282,-0.6239978027343795,-13.248085937499129,9.138051757812718,-8.783999671936034,17.280117187499854,-26.949123535156215,19.968164062500364,-1.3920053100586074,11.925762786865237,13.192927781658174,27.70518371554076,26.696382414482493,23.24313892561057,38.15287529862033,10.870862482978726,7.074666261163038,16.106059238486722,33.19663175027568,23.29998010425636,128.9905081359123,90.54819983716052,219.53870797307283,0.1751049218321302,92.74092864990234,92.98916625976562,0.13333334028720856,223.0792203061066
