time_s,unix_time,gripper_command,gripper_position,gripper_error,present_current_raw,present_load_raw,present_voltage_raw,on_motor_total,not_motor_total,combined_total,asymmetry,abs_current,abs_load,aligned_time_s
0.0032832622528076,1788289409.8822608,56.022944550669216,84.60575719649562,-28.5828126458264,0,0,118,17.89393291315764,29.83481756931958,47.72875048247722,0.2501822179599238,0,0,0.0
0.0528967380523681,1788289409.9318745,56.022944550669216,84.4180225281602,-28.395077977490978,10,204,117,39.75773117891963,27.639303639772656,67.39703481869228,0.1798065385479834,10,204,0.04961371421813965
0.1030409336090087,1788289409.9820185,56.022944550669216,82.16520650813517,-26.142261957465955,24,488,116,59.86644680169802,523.4915965756252,583.3580433773232,0.7947523052734334,24,488,0.09975767135620117
0.1531996726989746,1788289410.0321772,56.022944550669216,77.47183979974969,-21.448895249080472,8,500,117,494.57109138865343,782.8052384437275,1277.3763298323809,0.2256454423990278,8,500,0.149916410446167
0.2032933235168457,1788289410.0822709,56.022944550669216,72.27784730913642,-16.254902758467203,7,500,117,1774.3213462071935,1254.725570444695,3029.0469166518888,0.1715377113857404,7,500,0.20001006126403809
0.253361701965332,1788289410.1323392,56.022944550669216,67.08385481852316,-11.060910267853949,9,500,117,3920.9480154722514,1262.5994907090328,5183.547506181284,0.5128434767103394,9,500,0.2500784397125244
0.3033416271209717,1788289410.1823192,56.022944550669216,62.26533166458073,-6.242387113911512,0,280,118,4818.078040136417,1253.4840253987336,6071.56206553515,0.5870966937770237,0,280,0.30005836486816406
0.353496789932251,1788289410.2324743,56.022944550669216,59.32415519399249,-3.301210643323273,0,164,118,4852.27981255504,1254.417093381015,6106.696905936055,0.589166741790754,0,164,0.35021352767944336
0.4038271903991699,1788289410.2828047,56.022944550669216,57.88485607008761,-1.861911519418392,0,96,118,4876.79097242659,1245.884551198933,6122.675523625523,0.5930261055345992,0,96,0.4005439281463623
0.4540431499481201,1788289410.3330207,56.022944550669216,57.07133917396746,-1.0483946232982433,0,60,118,4886.751373268133,1268.1998206660005,6154.951193934134,0.5879090570479762,0,60,0.4507598876953125
0.5036540031433105,1788289410.3826315,56.022944550669216,56.63329161451814,-0.610347063848927,0,40,118,4901.773489287802,1259.5152816911109,6161.288770978912,0.5911520045534249,0,40,0.5003707408905029
0.5536603927612305,1788289410.432638,56.022944550669216,56.38297872340425,-0.360034172735034,0,32,118,4922.221638123331,1250.73184204539,6172.953480168721,0.5947703652510905,0,32,0.5503771305084229
0.603771448135376,1788289410.482749,56.022944550669216,56.25782227784731,-0.2348777271780946,0,20,118,4924.207761616997,1258.9165370183775,6183.124298635375,0.5927895102169555,0,20,0.6004881858825684
0.6537928581237793,1788289410.5327704,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4933.761905160967,1259.1471436033569,6192.909048764324,0.5933584253575965,0,24,0.6505095958709717
0.7040691375732422,1788289410.583047,56.022944550669216,56.19524405506884,-0.1722995043996249,0,24,118,4945.470753942842,1253.241428522603,6198.712182465445,0.5956445817672582,0,24,0.7007861137390137
