time_s,unix_time,gripper_command,gripper_position,gripper_error,present_current_raw,present_load_raw,present_voltage_raw,on_motor_total,not_motor_total,combined_total,asymmetry,abs_current,abs_load,aligned_time_s,eflesh_smooth,current_smooth,voltage_smooth,position_smooth,eflesh_above_contact,actual_extra_closure,rigid_equivalent,estimated_deformation,squeeze
17.72634220123291,1788289427.6053195,13.511790949649455,19.461827284105134,-5.950036334455676,13,320,117,13418.18559739401,11495.93035826418,24914.115955658188,0.077155265816015,13,320,17.723058700561523,24914.115955658188,12.0,117.0,19.461827284105134,0.0,0.0,0.011,-0.011,1
17.776243209838867,1788289427.6552207,13.193116634799235,17.647058823529413,-4.453942188730178,12,244,117,16156.245782366976,14581.128200008938,30737.37398237592,0.051244377065561,12,244,17.77295994758606,30737.37398237592,13.0,117.0,17.647058823529413,5823.258026717733,1.8147684605757206,2.67040932224046,-0.8556408616647393,1
17.826597452163696,1788289427.705575,13.193116634799235,16.708385481852314,-3.515268847053079,17,220,116,19022.30267060177,17754.20061190976,36776.503282511534,0.0344813113131131,17,220,17.82331418991089,36776.503282511534,17.0,116.0,16.708385481852314,11862.387326853346,2.7534418022528193,8.62619716145891,-5.87275535920609,1
17.8764750957489,1788289427.7554526,13.193116634799235,16.33291614518148,-3.139799510382243,17,208,116,19989.864588669367,18559.64231113291,38549.50689980228,0.037100922749904,17,208,17.873191833496094,38549.50689980228,17.0,116.0,16.33291614518148,13635.390944144096,3.1289111389236552,8.935,-5.806088861076345,1
17.92655920982361,1788289427.8055367,13.193116634799235,16.20775969962453,-3.014643064825293,25,204,116,20586.94240381788,19155.721006342246,39742.66341016012,0.0360122164613088,25,204,17.9232759475708,39742.66341016012,18.0,116.0,16.20775969962453,14828.547454501935,3.2540675844806053,8.935,-5.680932415519395,1
17.976600170135498,1788289427.8555777,13.193116634799235,16.20775969962453,-3.014643064825293,20,208,116,20692.43749809312,19253.72281432476,39946.160312417865,0.0360163448130235,20,208,17.97331690788269,39946.160312417865,18.0,116.0,16.20775969962453,15032.044356759678,3.2540675844806053,8.935070497584872,-5.681002913104267,1
18.02661323547364,1788289427.9055908,13.193116634799235,16.14518147684606,-2.9520648420468234,18,204,116,20898.357681845693,19474.643191940435,40373.00087378613,0.0352640244493112,18,204,18.023329973220825,40373.00087378613,20.0,116.0,16.14518147684606,15458.88491812794,3.316645807259075,8.936009546819882,-5.619363739560807,1
18.077062845230103,1788289427.9560404,13.193116634799235,16.082603254067585,-2.88948661926835,17,200,116,21057.12208213497,19618.43526800048,40675.55735013545,0.0353698119425943,17,200,18.07377958297729,40675.55735013545,20.0,116.0,16.082603254067585,15761.441394477264,3.3792240300375482,8.93667517106785,-5.5574511410303025,1
18.127037286758423,1788289428.0060148,13.193116634799235,16.082603254067585,-2.88948661926835,23,200,117,21122.253303199777,19691.890990684507,40814.14429388428,0.0350457503706527,23,200,18.12375402450561,40814.14429388428,20.0,116.0,16.082603254067585,15900.028338226093,3.3792240300375482,8.936980062344098,-5.55775603230655,1
18.17681360244751,1788289428.0557911,13.193116634799235,16.082603254067585,-2.88948661926835,20,200,115,21170.2396536544,19736.66162609981,40906.90127975421,0.0350448942038075,20,200,18.173530340194706,40906.90127975421,20.0,116.0,16.082603254067585,15992.785324096021,3.3792240300375482,8.937184127713012,-5.557960097675464,1
18.22696304321289,1788289428.1059406,13.193116634799235,16.082603254067585,-2.88948661926835,20,200,116,21236.39682745632,19783.2582729166,41019.65510037292,0.0354254210812833,20,200,18.223679780960083,41019.65510037292,20.0,116.0,16.082603254067585,16105.53914471473,3.3792240300375482,8.937432186118373,-5.558208156080825,1
